@relation winequality-white-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6

@attribute 'fixed acidity' {'\'(-inf-8.25]\'','\'(8.25-inf)\''}
@attribute 'volatile acidity' {'\'(-inf-0.2375]\'','\'(0.2375-0.2725]\'','\'(0.2725-0.525]\'','\'(0.525-inf)\''}
@attribute 'citric acid' {'\'(-inf-0.185]\'','\'(0.185-0.235]\'','\'(0.235-0.405]\'','\'(0.405-inf)\''}
@attribute 'residual sugar' {'\'(-inf-1.525]\'','\'(1.525-6.375]\'','\'(6.375-15.575]\'','\'(15.575-inf)\''}
@attribute chlorides {'\'(-inf-0.0395]\'','\'(0.0395-0.0595]\'','\'(0.0595-inf)\''}
@attribute 'free sulfur dioxide' {'\'(-inf-11.75]\'','\'(11.75-50.25]\'','\'(50.25-115.25]\'','\'(115.25-inf)\''}
@attribute 'total sulfur dioxide' {'\'(-inf-67.5]\'','\'(67.5-124.5]\'','\'(124.5-158.5]\'','\'(158.5-inf)\''}
@attribute density {'\'(-inf-0.991265]\'','\'(0.991265-0.992035]\'','\'(0.992035-0.993655]\'','\'(0.993655-inf)\''}
@attribute pH {'\'(-inf-3.245]\'','\'(3.245-inf)\''}
@attribute sulphates {'\'All\''}
@attribute alcohol {'\'(-inf-9.15]\'','\'(9.15-10.016666]\'','\'(10.016666-10.85]\'','\'(10.85-11.741667]\'','\'(11.741667-inf)\''}
@attribute quality {3,4,5,6,7,8,9}

@data
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(-inf-0.185]\'','\'(6.375-15.575]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(0.992035-0.993655]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',6
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.235-0.405]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',8
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.185-0.235]\'','\'(1.525-6.375]\'','\'(0.0395-0.0595]\'','\'(50.25-115.25]\'','\'(124.5-158.5]\'','\'(0.993655-inf)\'','\'(3.245-inf)\'','\'All\'','\'(-inf-9.15]\'',3
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.235-0.405]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(50.25-115.25]\'','\'(158.5-inf)\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',7
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(-inf-0.185]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',6
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(0.235-0.405]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(124.5-158.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',8
'\'(-inf-8.25]\'','\'(0.525-inf)\'','\'(-inf-0.185]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(50.25-115.25]\'','\'(67.5-124.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',7
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.185-0.235]\'','\'(-inf-1.525]\'','\'(-inf-0.0395]\'','\'(50.25-115.25]\'','\'(158.5-inf)\'','\'(0.992035-0.993655]\'','\'(3.245-inf)\'','\'All\'','\'(-inf-9.15]\'',5
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(-inf-0.185]\'','\'(-inf-1.525]\'','\'(0.0395-0.0595]\'','\'(-inf-11.75]\'','\'(158.5-inf)\'','\'(0.993655-inf)\'','\'(3.245-inf)\'','\'All\'','\'(10.016666-10.85]\'',5
'\'(-inf-8.25]\'','\'(0.525-inf)\'','\'(-inf-0.185]\'','\'(-inf-1.525]\'','\'(-inf-0.0395]\'','\'(-inf-11.75]\'','\'(-inf-67.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',5
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(-inf-0.185]\'','\'(-inf-1.525]\'','\'(-inf-0.0395]\'','\'(50.25-115.25]\'','\'(158.5-inf)\'','\'(0.992035-0.993655]\'','\'(3.245-inf)\'','\'All\'','\'(10.016666-10.85]\'',5
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.235-0.405]\'','\'(-inf-1.525]\'','\'(0.0395-0.0595]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(10.85-11.741667]\'',6
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(-inf-0.185]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(-inf-0.991265]\'','\'(-inf-3.245]\'','\'All\'','\'(11.741667-inf)\'',7
'\'(-inf-8.25]\'','\'(0.525-inf)\'','\'(-inf-0.185]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(124.5-158.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',6
'\'(-inf-8.25]\'','\'(0.2375-0.2725]\'','\'(0.185-0.235]\'','\'(6.375-15.575]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(0.992035-0.993655]\'','\'(3.245-inf)\'','\'All\'','\'(10.85-11.741667]\'',7
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.235-0.405]\'','\'(1.525-6.375]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(10.85-11.741667]\'',7
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(0.185-0.235]\'','\'(-inf-1.525]\'','\'(0.0395-0.0595]\'','\'(11.75-50.25]\'','\'(158.5-inf)\'','\'(-inf-0.991265]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',6
'\'(-inf-8.25]\'','\'(0.525-inf)\'','\'(-inf-0.185]\'','\'(-inf-1.525]\'','\'(-inf-0.0395]\'','\'(-inf-11.75]\'','\'(-inf-67.5]\'','\'(0.992035-0.993655]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',4
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.235-0.405]\'','\'(-inf-1.525]\'','\'(0.0595-inf)\'','\'(11.75-50.25]\'','\'(124.5-158.5]\'','\'(0.991265-0.992035]\'','\'(3.245-inf)\'','\'All\'','\'(10.016666-10.85]\'',6
'\'(-inf-8.25]\'','\'(-inf-0.2375]\'','\'(0.185-0.235]\'','\'(6.375-15.575]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(67.5-124.5]\'','\'(0.992035-0.993655]\'','\'(3.245-inf)\'','\'All\'','\'(11.741667-inf)\'',7
'\'(-inf-8.25]\'','\'(0.2725-0.525]\'','\'(-inf-0.185]\'','\'(6.375-15.575]\'','\'(-inf-0.0395]\'','\'(11.75-50.25]\'','\'(158.5-inf)\'','\'(0.993655-inf)\'','\'(3.245-inf)\'','\'All\'','\'(9.15-10.016666]\'',6
